prefecture,ranking,city,land_price,ping_unit_price,change
佐賀県,1位,佐賀市,4万5203円/m2,14万9434円/坪,-0.66％
佐賀県,2位,鳥栖市,4万3342円/m2,14万3280円/坪,-0.40％
秋田県,8位,能代市,1万4835円/m2,4万9041円/坪,-4.81％
秋田県,9位,横手市,1万3506円/m2,4万4650円/坪,-4.33％
秋田県,10位,湯沢市,1万2880円/m2,4万2579円/坪,-3.28％
秋田県,11位,八郎潟町,1万2383円/m2,4万0936円/坪,-4.25％
秋田県,12位,潟上市,1万2003円/m2,3万9681円/坪,-4.24％
秋田県,13位,五城目町,1万0735円/m2,3万5489円/坪,-3.78％
鳥取県,5位,智頭町,2万1916円/m2,7万2451円/坪,-4.57％
鳥取県,6位,八頭町,1万9584円/m2,6万4742円/坪,-1.32％
鳥取県,7位,境港市,1万9469円/m2,6万4361円/坪,-2.24％
鳥取県,8位,三朝町,1万7200円/m2,5万6859円/坪,-3.46％
鳥取県,9位,琴浦町,1万6830円/m2,5万5636円/坪,-3.39％
鳥取県,10位,湯梨浜町,1万6726円/m2,5万5295円/坪,-1.83％
鳥取県,11位,岩美町,1万5720円/m2,5万1966円/坪,-2.00％
鳥取県,12位,北栄町,1万3450円/m2,4万4462円/坪,-2.18％
福島県,2位,福島市,4万8468円/m2,16万0226円/坪,+2.52％
福島県,3位,いわき市,4万0155円/m2,13万2744円/坪,+5.26％
福島県,4位,会津若松市,3万6340円/m2,12万0134円/坪,+0.40％
福島県,5位,相馬市,3万1866円/m2,10万5344円/坪,+0.90％
福島県,6位,須賀川市,2万6090円/m2,8万6248円/坪,+0.69％
福島県,7位,南相馬市,2万5584円/m2,8万4577円/坪,+2.83％
東京都の,41位,東村山市,20万8000円/m2,68万7603円/坪,-2.01％
東京都の,42位,昭島市,19万4405円/m2,64万2662円/坪,+1.54％
東京都の,43位,福生市,19万3041円/m2,63万8154円/坪,+0.38％
東京都の,44位,東大和市,16万7837円/m2,55万4835円/坪,+1.95％
東京都の,45位,八王子市,15万5461円/m2,51万3923円/坪,-0.58％
佐賀県,3位,基山町,3万0111円/m2,9万9540円/坪,-1.99％
佐賀県,4位,伊万里市,2万7830円/m2,9万2002円/坪,-3.95％
佐賀県,5位,唐津市,2万5236円/m2,8万3427円/坪,-2.67％
佐賀県,6位,武雄市,2万4473円/m2,8万0905円/坪,-1.76％
佐賀県,7位,鹿島市,2万4145円/m2,7万9819円/坪,-2.75％
佐賀県,8位,小城市,2万2950円/m2,7万5867円/坪,-1.78％
佐賀県,9位,みやき町,2万2836円/m2,7万5492円/坪,-0.15％
秋田県,14位,男鹿市,1万0441円/m2,3万4517円/坪,-5.22％
秋田県,15位,井川町,1万0016円/m2,3万3112円/坪,-2.44％
秋田県,16位,北秋田市,9806円/m2,3万2419円/坪,+2.21％
秋田県,17位,小坂町,9600円/m2,3万1735円/坪,-2.24％
秋田県,18位,羽後町,8650円/m2,2万8595円/坪,-3.46％
秋田県,19位,美郷町,8605円/m2,2万8446円/坪,-9.10％
秋田県,20位,大潟村,8300円/m2,2万7438円/坪,+0.00％
鳥取県,13位,伯耆町,1万1416円/m2,3万7741円/坪,-3.11％
鳥取県,14位,南部町,1万0975円/m2,3万6280円/坪,-2.15％
鳥取県,15位,若桜町,1万0956円/m2,3万6218円/坪,-3.27％
鳥取県,16位,日野町,9800円/m2,3万2396円/坪,-2.97％
鳥取県,17位,大山町,8856円/m2,2万9276円/坪,-2.68％
鳥取県,18位,江府町,7750円/m2,2万5619円/坪,-3.13％
鳥取県,19位,日南町,7650円/m2,2万5289円/坪,-0.65％
青森県,1位,青森市,4万2766円/m2,14万1377円/坪,-0.94％
福島県,8位,西郷村,2万4830円/m2,8万2082円/坪,+0.29％
福島県,9位,桑折町,2万2657円/m2,7万4899円/坪,-0.03％
福島県,10位,白河市,2万2447円/m2,7万4205円/坪,-2.09％
福島県,11位,二本松市,2万2221円/m2,7万3458円/坪,-0.42％
福島県,12位,石川町,2万2164円/m2,7万3270円/坪,+0.25％
福島県,13位,本宮市,2万1895円/m2,7万2382円/坪,+0.53％
東京都の,46位,羽村市,14万5142円/m2,47万9808円/坪,-0.03％
東京都の,47位,武蔵村山市,12万1833円/m2,40万2754円/坪,+0.27％
東京都の,48位,青梅市,10万7400円/m2,35万5041円/坪,+0.32％
東京都の,49位,あきる野市,9万9463円/m2,32万8806円/坪,-1.13％
東京都の,50位,瑞穂町,9万2959円/m2,30万7302円/坪,+1.37％
東京都の,51位,日の出町,7万7680円/m2,25万6793円/坪,+0.44％
山形県,1位,山形市,6万5526円/m2,21万6617円/坪,-0.29％
山形県,2位,天童市,3万5112円/m2,11万6073円/坪,-3.43％
佐賀県,10位,嬉野市,2万1813円/m2,7万2111円/坪,-2.88％
佐賀県,11位,江北町,2万0200円/m2,6万6776円/坪,+8.21％
佐賀県,12位,吉野ヶ里町,1万9991円/m2,6万6088円/坪,-1.19％
佐賀県,13位,上峰町,1万9840円/m2,6万5586円/坪,-1.88％
佐賀県,14位,神埼市,1万9640円/m2,6万4928円/坪,-1.91％
佐賀県,15位,有田町,1万8347円/m2,6万0654円/坪,-2.71％
秋田県,21位,三種町,5660円/m2,1万8710円/坪,-5.35％
秋田県,22位,八峰町,5600円/m2,1万8512円/坪,-4.14％
秋田県,23位,藤里町,4500円/m2,1万4876円/坪,-3.57％
秋田県,24位,東成瀬村,4050円/m2,1万3388円/坪,-4.71％
秋田県,25位,上小阿仁村,3100円/m2,1万0247円/坪,-3.13％
青森県,2位,八戸市,3万6788円/m2,12万1614円/坪,-2.79％
青森県,3位,弘前市,3万1485円/m2,10万4082円/坪,-1.25％
青森県,4位,三沢市,2万1515円/m2,7万1125円/坪,-0.14％
青森県,5位,三戸町,1万7100円/m2,5万6528円/坪,-2.51％
青森県,6位,五所川原市,1万6731円/m2,5万5311円/坪,-2.13％
青森県,7位,十和田市,1万5390円/m2,5万0879円/坪,-0.70％
青森県,8位,鰺ヶ沢町,1万4000円/m2,4万6280円/坪,-3.61％
青森県,9位,野辺地町,1万3728円/m2,4万5383円/坪,-3.32％
青森県,10位,むつ市,1万3551円/m2,4万4799円/坪,-2.05％
福島県,14位,会津坂下町,2万1872円/m2,7万2305円/坪,+0.00％
福島県,15位,三春町,2万1805円/m2,7万2082円/坪,-0.73％
福島県,16位,伊達市,2万1532円/m2,7万1181円/坪,+0.93％
福島県,17位,矢吹町,2万1456円/m2,7万0929円/坪,-0.38％
福島県,18位,鏡石町,1万9815円/m2,6万5504円/坪,+1.05％
福島県,19位,川俣町,1万9042円/m2,6万2951円/坪,-0.30％
東京都の,52位,小笠原村,2万9345円/m2,9万7009円/坪,+0.00％
東京都の,53位,奥多摩町,2万8725円/m2,9万4958円/坪,-1.96％
東京都の,54位,檜原村,2万0766円/m2,6万8650円/坪,-1.89％
東京都の,55位,大島町,1万6075円/m2,5万3140円/坪,-1.00％
東京都の,56位,八丈町,1万5085円/m2,4万9870円/坪,-0.47％
東京都の,57位,三宅村,9383円/m2,3万1019円/坪,-1.05％
東京都の,58位,神津島村,7850円/m2,2万5950円/坪,+0.00％
山形県,3位,寒河江市,3万3641円/m2,11万1212円/坪,+1.14％
山形県,4位,東根市,2万8373円/m2,9万3795円/坪,-0.85％
山形県,5位,新庄市,2万8210円/m2,9万3259円/坪,+3.68％
山形県,6位,上山市,2万7613円/m2,9万1283円/坪,-1.69％
山形県,7位,米沢市,2万5017円/m2,8万2701円/坪,-1.43％
山形県,8位,山辺町,2万3033円/m2,7万6143円/坪,-0.79％
山形県,9位,酒田市,2万1932円/m2,7万2505円/坪,-0.53％
山形県,10位,鶴岡市,2万1252円/m2,7万0254円/坪,+0.85％
山形県,11位,南陽市,2万1041円/m2,6万9559円/坪,-0.95％
佐賀県,16位,多久市,1万5412円/m2,5万0950円/坪,-3.33％
佐賀県,17位,白石町,1万5107円/m2,4万9942円/坪,-4.58％
佐賀県,18位,大町町,1万4833円/m2,4万9035円/坪,-3.89％
佐賀県,19位,太良町,1万4100円/m2,4万6611円/坪,-2.53％
佐賀県,20位,玄海町,9805円/m2,3万2413円/坪,-2.44％
島根県,1位,松江市,4万8595円/m2,16万0647円/坪,-1.54％
青森県,11位,黒石市,1万3341円/m2,4万4104円/坪,-2.73％
青森県,12位,板柳町,1万3014円/m2,4万3022円/坪,-2.88％
青森県,13位,おいらせ町,1万2442円/m2,4万1133円/坪,-1.47％
青森県,14位,五戸町,1万1744円/m2,3万8824円/坪,+1.25％
青森県,15位,藤崎町,1万1725円/m2,3万8760円/坪,-2.97％
青森県,16位,南部町,1万1513円/m2,3万8060円/坪,-1.72％
青森県,17位,大鰐町,1万1475円/m2,3万7933円/坪,-2.96％
青森県,18位,七戸町,1万1336円/m2,3万7475円/坪,-3.03％
青森県,19位,鶴田町,1万1257円/m2,3万7213円/坪,-2.72％
青森県,20位,平川市,1万1170円/m2,3万6927円/坪,-2.39％
福島県,20位,国見町,1万8641円/m2,6万1625円/坪,+0.09％
福島県,21位,棚倉町,1万8605円/m2,6万1506円/坪,-0.84％
福島県,22位,広野町,1万8333円/m2,6万0606円/坪,+2.42％
福島県,23位,塙町,1万7185円/m2,5万6812円/坪,-1.31％
福島県,24位,猪苗代町,1万7018円/m2,5万6260円/坪,-0.97％
福島県,25位,浅川町,1万6708円/m2,5万5234円/坪,-1.28％
東京都の,59位,新島村,7483円/m2,2万4738円/坪,+0.00％
東京都の,*,利島村,,,
東京都の,*,青ヶ島村,,,
東京都の,*,御蔵島村,,,
山形県,12位,長井市,2万0730円/m2,6万8528円/坪,-1.83％
山形県,13位,中山町,2万0500円/m2,6万7768円/坪,-1.51％
山形県,14位,村山市,1万9672円/m2,6万5032円/坪,-1.58％
山形県,15位,河北町,1万9435円/m2,6万4247円/坪,-1.11％
山形県,16位,高畠町,1万8031円/m2,5万9607円/坪,-0.89％
山形県,17位,尾花沢市,1万4568円/m2,4万8161円/坪,-2.64％
山形県,18位,三川町,1万3684円/m2,4万5237円/坪,-0.33％
山形県,19位,大石田町,1万3627円/m2,4万5048円/坪,+11.21％
山形県,20位,川西町,1万3575円/m2,4万4876円/坪,-1.81％
島根県,2位,出雲市,2万9872円/m2,9万8751円/坪,-0.11％
島根県,3位,益田市,2万8773円/m2,9万5120円/坪,-1.64％
島根県,4位,浜田市,2万8451円/m2,9万4055円/坪,-5.67％
島根県,5位,安来市,2万5863円/m2,8万5498円/坪,-1.47％
島根県,6位,隠岐の島町,2万4535円/m2,8万1107円/坪,-3.23％
島根県,7位,津和野町,2万3677円/m2,7万8271円/坪,-3.93％
島根県,8位,大田市,2万2700円/m2,7万5041円/坪,-3.07％
青森県,21位,平内町,1万1157円/m2,3万6883円/坪,-2.74％
青森県,22位,階上町,9700円/m2,3万2066円/坪,-2.58％
青森県,23位,東北町,8409円/m2,2万7798円/坪,-5.52％
青森県,24位,つがる市,8252円/m2,2万7281円/坪,-7.34％
青森県,25位,田子町,8160円/m2,2万6975円/坪,-3.09％
青森県,26位,田舎館村,8121円/m2,2万6847円/坪,-2.32％
青森県,27位,中泊町,7922円/m2,2万6189円/坪,-3.13％
福島県,26位,小野町,1万6335円/m2,5万3999円/坪,-1.31％
福島県,27位,喜多方市,1万6000円/m2,5万2893円/坪,-1.06％
福島県,28位,新地町,1万5700円/m2,5万1900円/坪,+1.07％
福島県,29位,矢祭町,1万4862円/m2,4万9132円/坪,-1.33％
福島県,30位,大玉村,1万4640円/m2,4万8396円/坪,+4.13％
福島県,31位,会津美里町,1万3581円/m2,4万4896円/坪,-0.90％
福島県,32位,田村市,1万2313円/m2,4万0706円/坪,-0.44％
福島県,33位,南会津町,1万1548円/m2,3万8177円/坪,-3.53％
福島県,34位,泉崎村,1万1522円/m2,3万8089円/坪,-4.00％
山形県,21位,大江町,1万3482円/m2,4万4571円/坪,-1.93％
山形県,22位,小国町,1万2836円/m2,4万2435円/坪,-2.25％
山形県,23位,庄内町,1万1957円/m2,3万9528円/坪,-2.15％
山形県,24位,遊佐町,1万1758円/m2,3万8871円/坪,-2.23％
山形県,25位,白鷹町,1万0998円/m2,3万6358円/坪,-1.81％
山形県,26位,真室川町,1万0281円/m2,3万3988円/坪,-2.36％
山形県,27位,最上町,1万0026円/m2,3万3146円/坪,-2.35％
島根県,9位,江津市,2万2107円/m2,7万3081円/坪,-1.53％
島根県,10位,西ノ島町,2万1550円/m2,7万1239円/坪,-3.79％
島根県,11位,雲南市,1万7739円/m2,5万8642円/坪,-1.78％
島根県,12位,奥出雲町,1万6311円/m2,5万3922円/坪,-1.69％
島根県,13位,川本町,1万4166円/m2,4万6831円/坪,-5.97％
島根県,14位,吉賀町,1万2603円/m2,4万1665円/坪,-10.22％
島根県,15位,海士町,9925円/m2,3万2809円/坪,-2.22％
島根県,16位,飯南町,8462円/m2,2万7975円/坪,-2.17％
青森県,28位,六ヶ所村,7900円/m2,2万6115円/坪,+4.34％
青森県,29位,横浜町,7833円/m2,2万5895円/坪,-2.89％
青森県,30位,今別町,7150円/m2,2万3636円/坪,-2.72％
青森県,31位,外ヶ浜町,7070円/m2,2万3371円/坪,-1.29％
青森県,32位,六戸町,7057円/m2,2万3329円/坪,-2.56％
青森県,33位,深浦町,6392円/m2,2万1133円/坪,-3.03％
青森県,34位,佐井村,6233円/m2,2万0606円/坪,-5.08％
青森県,35位,風間浦村,6200円/m2,2万0495円/坪,-3.88％
福島県,35位,玉川村,1万1358円/m2,3万7548円/坪,-0.53％
福島県,36位,楢葉町,1万0860円/m2,3万5900円/坪,％
福島県,37位,下郷町,1万0700円/m2,3万5371円/坪,+0.00％
福島県,38位,西会津町,1万0320円/m2,3万4115円/坪,-2.05％
福島県,39位,中島村,9196円/m2,3万0399円/坪,-0.07％
福島県,40位,古殿町,8932円/m2,2万9528円/坪,-1.24％
福島県,41位,北塩原村,8563円/m2,2万8308円/坪,-1.57％
山形県,28位,金山町,9462円/m2,3万1280円/坪,-2.22％
山形県,29位,朝日町,8598円/m2,2万8425円/坪,-1.76％
山形県,30位,舟形町,8120円/m2,2万6842円/坪,-2.14％
山形県,31位,西川町,7031円/m2,2万3244円/坪,-2.52％
山形県,32位,大蔵村,6326円/m2,2万0914円/坪,-2.97％
山形県,33位,飯豊町,4950円/m2,1万6363円/坪,-2.56％
山形県,34位,鮭川村,4672円/m2,1万5446円/坪,-3.26％
島根県,17位,美郷町,7890円/m2,2万6082円/坪,-3.66％
島根県,18位,知夫村,6550円/m2,2万1652円/坪,-2.24％
島根県,19位,邑南町,5090円/m2,1万6829円/坪,-0.47％
青森県,36位,大間町,6087円/m2,2万0123円/坪,+49.08％
青森県,37位,蓬田村,5450円/m2,1万8016円/坪,-2.68％
青森県,38位,新郷村,5150円/m2,1万7024円/坪,-3.44％
青森県,39位,東通村,3500円/m2,1万1570円/坪,-2.78％
青森県,40位,西目屋村,2850円/m2,9421円/坪,-18.57％
福島県,42位,柳津町,8555円/m2,2万8280円/坪,-1.10％
福島県,43位,磐梯町,8331円/m2,2万7542円/坪,-0.68％
福島県,44位,湯川村,8092円/m2,2万6752円/坪,+0.00％
福島県,45位,只見町,7890円/m2,2万6082円/坪,-0.54％
福島県,46位,平田村,7602円/m2,2万5130円/坪,-0.73％
山形県,35位,戸沢村,4552円/m2,1万5049円/坪,-3.45％
福島県,47位,天栄村,7596円/m2,2万5112円/坪,-0.70％
福島県,48位,金山町,5827円/m2,1万9264円/坪,-1.10％
福島県,49位,鮫川村,5453円/m2,1万8027円/坪,-0.85％
福島県,50位,檜枝岐村,5180円/m2,1万7123円/坪,+0.00％
福島県,51位,三島町,5170円/m2,1万7090円/坪,-0.96％
福島県,52位,川内村,3833円/m2,1万2672円/坪,+0.00％
福島県,53位,昭和村,3343円/m2,1万1052円/坪,-0.50％
福島県,*,富岡町,,,
福島県,*,大熊町,,,
福島県,*,浪江町,,,
福島県,*,飯舘村,,,
福島県,*,双葉町,,,
福島県,*,葛尾村,,,
岩手県,1位,盛岡市,6万1104円/m2,20万1997円/坪,-0.05％
岩手県,2位,釜石市,4万2007円/m2,13万8866円/坪,-1.76％
岩手県,3位,宮古市,3万2107円/m2,10万6139円/坪,-0.16％
岩手県,4位,北上市,3万1747円/m2,10万4949円/坪,-1.26％
岩手県,5位,矢巾町,3万1200円/m2,10万3140円/坪,-0.30％
岩手県,6位,滝沢市,2万9786円/m2,9万8468円/坪,-0.36％
岩手県,7位,大船渡市,2万9623円/m2,9万7929円/坪,+1.39％
岩手県,8位,紫波町,2万9444円/m2,9万7336円/坪,-0.60％
岩手県,9位,山田町,2万7900円/m2,9万2231円/坪,+1.03％
岩手県,10位,二戸市,2万4733円/m2,8万1763円/坪,+1.75％
岩手県,11位,平泉町,2万2833円/m2,7万5482円/坪,-1.72％
岩手県,12位,大槌町,2万2183円/m2,7万3333円/坪,-0.22％
岩手県,13位,奥州市,2万1962円/m2,7万2603円/坪,-0.72％
岩手県,14位,一関市,2万1675円/m2,7万1655円/坪,+0.98％
岩手県,15位,岩手町,2万1516円/m2,7万1129円/坪,-4.01％
岩手県,16位,花巻市,2万1444円/m2,7万0889円/坪,-2.06％
岩手県,17位,久慈市,2万1406円/m2,7万0765円/坪,-2.44％
岩手県,18位,遠野市,2万0375円/m2,6万7355円/坪,-2.18％
岩手県,19位,一戸町,2万0085円/m2,6万6399円/坪,-3.83％
岩手県,20位,軽米町,2万0000円/m2,6万6115円/坪,-7.12％
岩手県,21位,岩泉町,1万9500円/m2,6万4462円/坪,-15.13％
岩手県,22位,金ケ崎町,1万9047円/m2,6万2966円/坪,-1.04％
岩手県,23位,雫石町,1万8716円/m2,6万1873円/坪,-4.02％
岩手県,24位,陸前高田市,1万6037円/m2,5万3016円/坪,+1.25％
岩手県,25位,洋野町,1万3852円/m2,4万5793円/坪,-3.80％
岩手県,26位,普代村,1万3633円/m2,4万5068円/坪,-3.76％
岩手県,27位,八幡平市,1万2998円/m2,4万2968円/坪,-3.25％
岩手県,28位,野田村,1万2980円/m2,4万2909円/坪,-1.10％
岩手県,29位,葛巻町,1万2342円/m2,4万0799円/坪,-6.00％
岩手県,30位,九戸村,1万1900円/m2,3万9338円/坪,-4.42％
岩手県,31位,住田町,1万1000円/m2,3万6363円/坪,-1.89％
岩手県,32位,田野畑村,7816円/m2,2万5840円/坪,-2.09％
岩手県,33位,西和賀町,6133円/m2,2万0275円/坪,-5.35％
宮崎県,1位,宮崎市,5万6410円/m2,18万6479円/坪,+0.15％
宮崎県,2位,延岡市,3万1910円/m2,10万5490円/坪,-1.71％
宮崎県,3位,日向市,3万0358円/m2,10万0360円/坪,-0.95％
宮崎県,4位,高鍋町,2万6750円/m2,8万8429円/坪,-2.10％
宮崎県,5位,都城市,2万3604円/m2,7万8032円/坪,-0.29％
宮崎県,6位,西都市,2万2410円/m2,7万4082円/坪,-1.32％
宮崎県,7位,日南市,2万1240円/m2,7万0217円/坪,+1.27％
宮崎県,8位,国富町,2万0230円/m2,6万6876円/坪,-1.37％
山口県,1位,和木町,6万5142円/m2,21万5348円/坪,-1.02％
山口県,2位,下松市,4万4542円/m2,14万7247円/坪,-2.88％
宮崎県,9位,高千穂町,1万9250円/m2,6万3636円/坪,-1.62％
宮崎県,10位,門川町,1万8583円/m2,6万1432円/坪,-1.06％
宮崎県,11位,小林市,1万8262円/m2,6万0371円/坪,-2.63％
宮崎県,12位,新富町,1万7725円/m2,5万8595円/坪,-1.46％
宮崎県,13位,三股町,1万7050円/m2,5万6363円/坪,-1.02％
宮崎県,14位,綾町,1万6614円/m2,5万4923円/坪,-0.17％
山梨県,1位,甲府市,5万3624円/m2,17万7271円/坪,-1.77％
山口県,3位,岩国市,4万3845円/m2,14万4943円/坪,+2.24％
山口県,4位,周南市,3万9826円/m2,13万1658円/坪,+1.98％
山口県,5位,下関市,3万9327円/m2,13万0008円/坪,-1.79％
山口県,6位,山口市,3万8095円/m2,12万5935円/坪,-1.51％
長野県,1位,軽井沢町,7万9515円/m2,26万2860円/坪,+0.93％
宮崎県,15位,串間市,1万5490円/m2,5万1206円/坪,-4.32％
宮崎県,16位,川南町,1万4914円/m2,4万9303円/坪,-1.14％
宮崎県,17位,えびの市,1万4411円/m2,4万7640円/坪,-2.55％
宮崎県,18位,都農町,1万3066円/m2,4万3195円/坪,-2.37％
宮崎県,19位,高原町,1万3028円/m2,4万3069円/坪,-2.77％
宮崎県,20位,木城町,9500円/m2,3万1404円/坪,-0.35％
宮崎県,21位,西米良村,7183円/m2,2万3746円/坪,-0.23％
茨城県,1位,守谷市,9万0029円/m2,29万7618円/坪,-0.24％
山梨県,2位,大月市,5万0000円/m2,16万5289円/坪,-3.47％
山梨県,3位,昭和町,4万6961円/m2,15万5244円/坪,-0.80％
山梨県,4位,上野原市,4万2409円/m2,14万0195円/坪,-2.00％
山梨県,5位,都留市,4万1821円/m2,13万8252円/坪,-0.70％
山梨県,6位,富士吉田市,4万0400円/m2,13万3553円/坪,-5.41％
山梨県,7位,甲斐市,3万7414円/m2,12万3683円/坪,-0.61％
山梨県,8位,韮崎市,3万4076円/m2,11万2650円/坪,-2.32％
山口県,7位,柳井市,3万2631円/m2,10万7871円/坪,-1.79％
山口県,8位,防府市,3万1745円/m2,10万4942円/坪,-1.22％
山口県,9位,宇部市,2万9890円/m2,9万8810円/坪,-2.91％
山口県,10位,光市,2万8953円/m2,9万5712円/坪,-2.23％
山口県,11位,山陽小野田市,2万3878円/m2,7万8937円/坪,+0.62％
山口県,12位,田布施町,2万3050円/m2,7万6198円/坪,-1.28％
山口県,13位,平生町,2万2301円/m2,7万3723円/坪,-0.99％
山口県,14位,萩市,1万9105円/m2,6万3158円/坪,-5.23％
山口県,15位,周防大島町,1万7078円/m2,5万6458円/坪,-1.83％
長野県,2位,長野市,6万5222円/m2,21万5609円/坪,-3.00％
長野県,3位,松本市,6万0796円/m2,20万0979円/坪,+1.15％
長野県,4位,下諏訪町,4万7785円/m2,15万7969円/坪,-1.96％
長野県,5位,諏訪市,4万3041円/m2,14万2286円/坪,-2.07％
長野県,6位,岡谷市,4万2909円/m2,14万1848円/坪,-2.28％
長野県,7位,塩尻市,4万1347円/m2,13万6686円/坪,-0.34％
宮崎県,22位,五ヶ瀬町,6233円/m2,2万0606円/坪,-0.69％
宮崎県,23位,日之影町,5666円/m2,1万8732円/坪,-2.58％
宮崎県,24位,美郷町,5562円/m2,1万8388円/坪,-2.20％
宮崎県,25位,椎葉村,4956円/m2,1万6385円/坪,-1.78％
宮崎県,26位,諸塚村,4823円/m2,1万5944円/坪,-1.23％
茨城県,2位,つくば市,6万9452円/m2,22万9594円/坪,-0.33％
茨城県,3位,水戸市,5万5752円/m2,18万4306円/坪,-2.28％
茨城県,4位,取手市,5万0479円/m2,16万6873円/坪,-2.04％
茨城県,5位,牛久市,4万9806円/m2,16万4648円/坪,-0.45％
茨城県,6位,古河市,4万0622円/m2,13万4290円/坪,+0.55％
茨城県,7位,日立市,3万8822円/m2,12万8339円/坪,-1.68％
茨城県,8位,つくばみらい市,3万8429円/m2,12万7038円/坪,-0.57％
茨城県,9位,東海村,3万7658円/m2,12万4490円/坪,-0.96％
茨城県,10位,土浦市,3万5673円/m2,11万7930円/坪,-2.44％
山梨県,9位,中央市,3万1617円/m2,10万4521円/坪,-1.05％
山梨県,10位,西桂町,2万8875円/m2,9万5454円/坪,-2.04％
山梨県,11位,富士河口湖町,2万8712円/m2,9万4916円/坪,-0.83％
山梨県,12位,山梨市,2万8337円/m2,9万3677円/坪,-6.31％
山梨県,13位,笛吹市,2万7202円/m2,8万9926円/坪,-4.10％
山梨県,14位,甲州市,2万6612円/m2,8万7975円/坪,-1.90％
山梨県,15位,富士川町,2万5627円/m2,8万4718円/坪,-2.89％
山口県,16位,上関町,1万6525円/m2,5万4628円/坪,-3.36％
山口県,17位,長門市,1万6286円/m2,5万3840円/坪,-7.29％
山口県,18位,阿武町,1万0875円/m2,3万5950円/坪,-5.43％
